Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_OPERATI;OPERATION;NATURE;MODE_;SOUS_MODE;INDICE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.354738574144811, 48.667892845672476]}";Morsang;318;Tram 12;31801;Tram-Train Massy - Evry;arrêt;3;32;12;0;0;1;;1;0;0;9;1;2013-08-22T02:00:00+02:00;1;48.6678928457,2.35473857414
"{""type"": ""Point"", ""coordinates"": [2.326717840220577, 48.87502934185027]}";Haussmann-Saint-Lazare;414;Train E - Ouest;41401;RER E à l'Ouest à Nanterre-la-Folie;arrêt;4;41;E;1;1;1;;0;1;0;9;1;;1;48.8750293419,2.32671784022
"{""type"": ""Point"", ""coordinates"": [2.347202485314252, 48.67059268855164]}";Savigny;318;Tram 12;31801;Tram-Train Massy - Evry;arrêt;3;32;12;0;0;1;;1;0;0;9;1;2013-08-22T02:00:00+02:00;1;48.6705926886,2.34720248531
"{""type"": ""Point"", ""coordinates"": [2.376339042904093, 48.65345720624493]}";Centre de la Vie Sociale;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6534572062,2.3763390429
"{""type"": ""Point"", ""coordinates"": [2.223738843023635, 48.89758664840727]}";Nanterre - La Folie;414;Train E - Ouest;41401;RER E à l'Ouest à Nanterre-la-Folie;arrêt;4;41;E;1;0;1;;0;1;0;9;1;;1;48.8975866484,2.22373884302
"{""type"": ""Point"", ""coordinates"": [2.366719777660084, 48.92886140637224]}";Lycée Suger;313;Tram 08;31302;T8 à Rosa Parks;arrêt;3;31;8;0;0;2;;0;1;0;3;0;;1;48.9288614064,2.36671977766
"{""type"": ""Point"", ""coordinates"": [2.265899097109115, 48.76469594994353]}";Esplanade;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7646959499,2.26589909711
"{""type"": ""Point"", ""coordinates"": [2.38615036708949, 48.65232858892664]}";La Ferme Neuve;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6523285889,2.38615036709
"{""type"": ""Point"", ""coordinates"": [2.496578054508295, 48.823681608213576]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8236816082,2.49657805451
"{""type"": ""Point"", ""coordinates"": [2.475193423820457, 48.8092213993176]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8092213993,2.47519342382
"{""type"": ""Point"", ""coordinates"": [2.388023180290724, 48.75166888751083]}";Rue de Travy;231;bus Senia - Orly;23101;TCSP Senia - Orly - secteur Sénia;arrêt;2;21;;0;0;1;Sud;0;1;0;4;0;;1;48.7516688875,2.38802318029
"{""type"": ""Point"", ""coordinates"": [2.428430593700051, 48.62838676726272]}";Agora;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6283867673,2.4284305937
"{""type"": ""Point"", ""coordinates"": [2.491787380670408, 48.82226905848115]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8222690585,2.49178738067
"{""type"": ""Point"", ""coordinates"": [2.471170695436287, 48.809573971819624]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8095739718,2.47117069544
"{""type"": ""Point"", ""coordinates"": [2.552019127827297, 48.840446405005615]}";Noisy-le-Grand - Mont d'Est;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;1;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.840446405,2.55201912783
"{""type"": ""Point"", ""coordinates"": [2.45436825449404, 48.61964324365137]}";CHSF;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6196432437,2.45436825449
"{""type"": ""Point"", ""coordinates"": [2.485322104165807, 48.820363048562626]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8203630486,2.48532210417
"{""type"": ""Point"", ""coordinates"": [2.45458628446345, 48.783733712644356]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.7837337126,2.45458628446
"{""type"": ""Point"", ""coordinates"": [2.546591755796315, 48.843205729971025]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.84320573,2.5465917558
"{""type"": ""Point"", ""coordinates"": [1.91353050809466, 48.99259195475147]}";Les Mureaux;414;Train E - Ouest;41402;RER E à l'Ouest à Mantes-la-Jolie;arrêt;4;41;E;1;0;2;;0;1;0;9;1;;1;48.9925919548,1.91353050809
"{""type"": ""Point"", ""coordinates"": [2.481257535761958, 48.81497470269599]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8149747027,2.48125753576
"{""type"": ""Point"", ""coordinates"": [2.371378701206531, 48.70906346798867]}";Le Contin;312;Tram 07;31202;T7 : Athis Mons - Juvisy (Phase 2);arrêt;3;31;7;0;0;2;;0;1;0;8;1;2013-11-27T01:00:00+01:00;1;48.709063468,2.37137870121
"{""type"": ""Point"", ""coordinates"": [2.425763032866559, 48.89556261431261]}";Raymond Queneau;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;1;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.8955626143,2.42576303287
"{""type"": ""Point"", ""coordinates"": [1.955479247534605, 48.99261388163913]}";Les Clairières de Verneuil;414;Train E - Ouest;41402;RER E à l'Ouest à Mantes-la-Jolie;arrêt;4;41;E;1;0;2;;0;1;0;9;1;;1;48.9926138816,1.95547924753
"{""type"": ""Point"", ""coordinates"": [2.45380584156886, 48.78570112051643]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.7857011205,2.45380584157
"{""type"": ""Point"", ""coordinates"": [2.521563703812466, 48.82722978974715]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8272297897,2.52156370381
"{""type"": ""Point"", ""coordinates"": [2.476234975838891, 48.905397957509756]}";Gâtine;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9053979575,2.47623497584
"{""type"": ""Point"", ""coordinates"": [1.999603609660236, 48.93948681080072]}";Villennes-sur-Seine;414;Train E - Ouest;41402;RER E à l'Ouest à Mantes-la-Jolie;arrêt;4;41;E;1;0;2;;0;1;0;9;1;;1;48.9394868108,1.99960360966
"{""type"": ""Point"", ""coordinates"": [2.371577488383517, 48.704999709858434]}";Stade Delaune;312;Tram 07;31202;T7 : Athis Mons - Juvisy (Phase 2);arrêt;3;31;7;0;0;2;;0;1;0;8;1;2013-11-27T01:00:00+01:00;1;48.7049997099,2.37157748838
